Elegoo Saturn Facebook Group https://www.facebook.com/groups/elegoosaturn/,Siraya Tech chitubox profiles. https://drive.google.com/drive/mobile/folders/1NxdhwuxXhPdvc3N1gAta2fjdwMEP7bFI?usp=sharing,Submit your data https://forms.gle/TDMfiRSEVCw9CdnM7,ELEGOO Resin Settings on Mars / Mars Pro / Mars 2 Pro / Saturn (Official) https://docs.google.com/spreadsheets/d/1pXFnb8nZNR-jC5h0_t28NJ3jpmWeOPu6bmYNY05lysU/,this sheet https://docs.google.com/spreadsheets/d/14R1cGB1-OxLteH79fH0lgn85j9g45iooQzL8hPbbVJk/edit?usp=sharing,,,,,,,,,,
Timestamp,Resin Brand,Resin model,color,Layer Height,Exposure Time,Room Temp (c),Bottom Exposure Time,Lift Speed,Anti-Aliasing,Sample photos of model printed with these settings,,,,
10/2/2020 8:21:01, Siraya Tech,Fast,Grey,0.05,2.0 (Default),21,30,70,"default, 3/2",https://drive.google.com/open?id=1gvXjy0S7TmrT5UhwTBgFktaQqvDS7JBI,,,,
10/3/2020 12:13:18,Siratech,fast,Grey,0.05,2,21,30,70,"default, 3/2",https://drive.google.com/open?id=1Wgv_-7MDV_Jp7LW2faB1aN3aX65m4cpO,,,,
10/3/2020 16:30:15,Elegoo,Standard,Gray,0.05,3,"19,5",40,20,3,https://drive.google.com/open?id=1JzsWyNFMjmZyRHckabMSLRfrPjBLH6Nm,"Did some adjustments that ""felt good"" with this print after reading several other notices. Turned out quite good.",,,
10/8/2020 9:52:52,Elegoo,Water washable,Ceramic grey,0.05,2.5,22 C,16,50,4x,https://drive.google.com/open?id=1idIJz4p7b519pq-4xwYAcoJoHPnWTC7i,https://drive.google.com/open?id=1KT2Q3WcgAmcMZPi3SAatrZZScelNQ8KV,https://drive.google.com/open?id=1_BBKe9tdV8xrzgWGOVCEeoOBY3qu1kfn,https://drive.google.com/open?id=1RK5ozL_SVzyhjmP3pBO514JGd8eN-_73,https://drive.google.com/open?id=1BPNM2ZL9tagUsbqBa9UnjW_AH2kAcD-4
10/8/2020 20:46:15,Elegoo and Siraya Tech,75% Tenacious and 25% Elegoo fast grey,Grey,0.05,3.7,24,30,60,none,https://drive.google.com/open?id=1ISn4GCZgi7oCPCm9BH7RcWwvLzxcHil-,,,,
10/9/2020 19:50:24,Monocure,Rapid,White,0.05,3,21,40,40,Default,https://drive.google.com/open?id=1TmBWz-JB9KGzeTdjdeZSNouZTjjE93af,https://drive.google.com/open?id=1a9HN3gQgb4QBUapAJnmtRlMQk9zvX-Dz,Haven't done any tests for the resins but happy with the results. Slow lift speed as people say monocure is thick,,
10/11/2020 23:47:03,Sunlu,Standard,Grey,0.05,3,30,15,60,No,https://drive.google.com/open?id=18FJ5om9Z7T7meigmqPHPNFvB3N5nKZOx,,,,
10/13/2020 9:44:48,Siraya Tech,77% Build  23%Tenacious,Smokey Black,0.075,2.8,22,30,70,3/2,https://drive.google.com/open?id=1rUBT9wq8DermQdxCRSo3alkG6XEJwI1V,https://drive.google.com/open?id=14ycZ6EHabPso0qWygo3AjtpvBFvD-ILp,,,
10/14/2020 15:26:16,anycubic,basic black,black,0.5,2.75,5 to 20c,35,40,yes,https://drive.google.com/open?id=1GVIUMi01IeoO6N3KU3K_-61ymM2lALzt,,,,
